Characteristic,Total registered,Total voted,Number of Electoral Votes
UNITED STATES,"161,832","121,884",538
ALABAMA,"2,499","1,688",9
ALASKA,373,282,3
ARIZONA,"3,560","2,844",11
ARKANSAS,"1,360",961,6
CALIFORNIA,"17,032","13,044",54
COLORADO,"3,162","2,687",10
CONNECTICUT,"1,778","1,253",7
DELAWARE,578,409,3
DISTRICT OF COLUMBIA,393,300,3
FLORIDA,"9,770","7,575",30
GEORGIA,"5,275","4,323",16
HAWAII,651,509,4
IDAHO,917,685,4
ILLINOIS,"6,110","4,600",19
INDIANA,"3,259","2,056",11
IOWA,"1,732","1,215",6
KANSAS,"1,587","1,239",6
KENTUCKY,"2,321","1,690",8
LOUISIANA,"2,215","1,574",8
MAINE_C1,500,358,1
MAINE_C2,455,323,1
MARYLAND,"3,301","2,525",10
MASSACHUSETTS,"3,618","2,776",11
MICHIGAN,"5,797","4,757",15
MINNESOTA,"3,255","2,680",10
MISSISSIPPI,"1,572","1,005",6
MISSOURI,"3,532","2,460",10
MONTANA,613,496,4
NEBRASKA_C1,410,178,1
NEBRASKA_C2,407,265,1
NEBRASKA_C3,426,224,1
NEVADA,"1,436","1,123",6
NEW HAMPSHIRE,804,654,4
NEW JERSEY,"4,402","3,151",14
NEW MEXICO,"1,026",818,5
NEW YORK,"8,897","6,631",28
NORTH CAROLINA,"4,583","3,439",16
NORTH DAKOTA,418,288,3
OHIO,"5,890","4,162",17
OKLAHOMA,"1,936","1,335",7
OREGON,"2,581","2,185",8
PENNSYLVANIA,"7,009","5,843",19
RHODE ISLAND,626,458,4
SOUTH CAROLINA,"2,491","1,736",9
SOUTH DAKOTA,460,351,3
TENNESSEE,"3,467","2,291",11
TEXAS,"12,416","8,935",40
UTAH,"1,536","1,204",6
VERMONT,393,324,3
VIRGINIA,"4,487","3,216",13
WASHINGTON,"4,140","3,292",12
WEST VIRGINIA,877,538,4
WISCONSIN,"3,225","2,715",10
WYOMING,274,214,3